excessvolumewczero,excessvolumewchange,pricechangeeffectivewchange,pricechangeeffectivewczero,,,,,,
-0.06,0.84,200,-19,,,,,,
0.28,0.44,-0.05,29,,,,,,
-0.3,-0.26,0.46,70,,,,,,
-0.01,-0.18,-0.18,26,,,,,,
0,-0.9,-0.05,-3.5,,,,,,
-0.27,-0.54,0,7,,,,,,
0.05,2.09,-1460,-15,,,,,,
-0.25,-0.3,0.25,-2,,,,,,
0.36,0.02,-0.16,1.58,,,,,,
0.19,-0.25,-0.41,0.11,,,,,,
-0.1,0.54,7,0.33,,,,,,
0.05,-0.1,23.5,1.28,,,,,,
-0.06,-0.13,-85,6.05,,,,,,
0.07,0.21,0.03,0.98,,,,,,
-0.12,0.58,250,-1.39,,,,,,
-0.11,0.91,-7800,-1.91,,,,,,
-0.12,-0.18,11,-0.36,,,,,,
-0.06,0.17,-14000,-0.06,,,,,,
-0.22,0.16,-105,1.54,,,,,,
-0.17,0.28,-0.69,-1.56,,,,,,
-0.18,-0.11,-1000,0.38,,,,,,
-0.1,0.19,35,3.9,,,,,,
-0.19,-0.62,40,0.1,,,,,,
-0.06,-0.37,-0.2,2.23,,,,,,
0.1,0.37,-82,-3.15,,,,,,
0.35,-0.11,-3,39.4,,,,,,
0.26,0.15,75.5,30,,,,,,
0.11,-0.35,2.98,-3.9,,,,,,
0.1,0.61,0.5,-5.9,,,,,,
-0.02,0.62,-0.02,-0.1,,,,,,
-0.15,0.15,211,0.04,,,,,,
0.02,-0.04,31,0.76,,,,,,
0.07,0.19,88,-0.04,,,,,,
-0.21,0.5,-129,-0.02,,,,,,
0.09,-0.47,0.09,0.03,,,,,,
0.05,0.21,-50,0.6,,,,,,
-0.28,-0.01,-1.97,-0.78,,,,,,
0.14,-0.55,-0.32,1.1,,,,,,
-0.04,0.4,-0.05,-0.3,,,,,,
-0.04,0.33,0.21,7.6,,,,,,
0.19,0.83,2.05,6.2,,,,,,
-0.02,0.78,-2.2,4.3,,,,,,
-0.11,-0.19,0.13,-5.8,,,,,,
0.06,-0.24,-0.05,-5.45,,,,,,
-0.13,-0.14,33,-1,,,,,,
0.27,-0.29,42.8,2.1,,,,,,
-0.21,0,2.01,6.9,,,,,,
-0.04,-0.14,0.06,-5.7,,,,,,
0.03,-0.35,0.3,4.4,,,,,,
-0.03,0.15,0.49,8.8,,,,,,
0.14,-0.04,-2,-5.6,,,,,,
0.2,0.14,-1,-5,,,,,,
-0.04,-0.63,-0.35,3.6,,,,,,
0.03,0.06,1.45,1.1,,,,,,
0.89,0.19,0,-1.43,,,,,,
0.06,0.01,-0.23,0.6,,,,,,
-0.08,-0.07,104,1.9,,,,,,
0.06,-0.24,4,6.9,,,,,,
0.02,0.25,-7,2.6,,,,,,
-0.04,-0.09,4,-1.45,,,,,,
-0.29,1.03,4.66,0.05,,,,,,
0.19,0.02,14.5,-0.03,,,,,,
0.04,0.02,-440,-0.03,,,,,,
-0.27,-0.07,-2,-0.02,,,,,,
-0.25,0.02,-0.1,0.3,,,,,,
-0.12,0.66,60,-0.03,,,,,,
-0.51,-0.03,-290,0.01,,,,,,
-0.15,-0.3,7,0.01,,,,,,
-0.43,-0.05,-1800,-0.01,,,,,,
-0.16,0.22,1050,1.22,,,,,,
-0.53,-0.21,-0.01,0.21,,,,,,
-0.15,0.25,150,0.13,,,,,,
0.3,-0.1,1.4,0.16,,,,,,
-0.45,0.16,0.35,0.02,,,,,,
0.3,-0.13,0.11,0.64,,,,,,
-0.18,0,4.75,0.05,,,,,,
-0.02,0.44,8800,0.22,,,,,,
-0.2,0.42,0.02,-0.01,,,,,,
-0.17,0,0.32,-0.02,,,,,,
-0.3,-0.38,0.08,0.06,,,,,,
-0.32,0.75,-4.5,0.68,,,,,,
-0.12,0.02,-0.49,1,,,,,,
0.77,0.27,412,11.39,,,,,,
-0.17,-0.09,36,-0.29,,,,,,
0,0.2,-70,-0.79,,,,,,
0.06,-0.11,5.47,2.28,,,,,,
0.54,0.6,1.23,-7.11,,,,,,
0.23,0.01,7.85,-1.82,,,,,,
0.04,-0.32,0.31,-3.72,,,,,,
0.57,0.37,68,-7.13,,,,,,
0.72,0.15,7.68,-2.06,,,,,,
-0.22,0.08,0.35,-0.72,,,,,,
0.53,0.08,4,-10.04,,,,,,
-0.17,0.29,13.55,-0.18,,,,,,
-0.19,-0.32,6.2,-0.12,,,,,,
0.11,-0.29,-0.06,-1.87,,,,,,
-0.15,-0.35,0.12,-2.52,,,,,,
0.02,0.25,1.84,-7.59,,,,,,
-0.19,0.59,-1.71,-1.87,,,,,,
-0.09,0.48,2.74,3.58,,,,,,
0.41,0.12,2.7,6.93,,,,,,
-0.07,0.39,3,-2.79,,,,,,
-0.22,0.05,9.95,-1.21,,,,,,
-0.2,0.98,-6.25,-1.19,,,,,,
-0.25,-0.01,0.08,-2.62,,,,,,
-0.11,0.79,-0.01,-0.22,,,,,,
-0.33,0.24,-1.08,-0.53,,,,,,
-0.37,-0.2,46,-6.35,,,,,,
0.07,-0.1,2.05,3.41,,,,,,
-0.05,-0.34,0.52,-2.26,,,,,,
-0.29,0.15,56,-7.18,,,,,,
-0.18,0.19,800,8.23,,,,,,
-0.05,-0.37,75,4.77,,,,,,
-0.18,0.28,-56,-0.35,,,,,,
0.26,0.69,-0.35,6.05,,,,,,
0.01,-0.21,-0.04,-5.53,,,,,,
-0.18,-0.11,-0.68,-1.54,,,,,,
0.05,0.35,-164,6.32,,,,,,
-0.17,0.04,159,-2.94,,,,,,
-0.17,0.21,28,0.28,,,,,,
-0.07,0.6,1000,-0.04,,,,,,
-0.08,0.5,-270,-0.1,,,,,,
-0.27,0.37,-17,0,,,,,,
0.22,-0.02,20,2.84,,,,,,
-0.16,0.14,-0.05,-0.78,,,,,,
0.4,-0.22,2.67,-16.46,,,,,,
-0.14,0.39,4.85,-1.49,,,,,,
-0.31,0.65,5250,0.16,,,,,,
0.29,1.22,-11,-2.13,,,,,,
-0.08,-0.17,0.1,0.52,,,,,,
-0.1,0.1,1.44,1.07,,,,,,
0.05,0.77,-128,-2.57,,,,,,
0.02,0,0.35,1.36,,,,,,
-0.05,-0.16,1,-0.14,,,,,,
-0.11,0.51,70,-1.71,,,,,,
-0.01,1.57,-3500,-3.09,,,,,,
0.41,-0.13,-156,-4.88,,,,,,
0.57,-0.1,21,-7.75,,,,,,
-0.14,-0.25,-2.5,0.17,,,,,,
-0.17,0.01,-0.72,2.7,,,,,,
0.14,0.45,-170,0.65,,,,,,
0.3,-0.19,19,-16.2,,,,,,
-0.3,0.45,1.22,-1.27,,,,,,
0.26,0.14,-18.51,5.54,,,,,,
0.32,0.3,-0.13,2.1,,,,,,
-0.11,0.25,-750,-3.37,,,,,,
-0.23,0.64,-550,8.63,,,,,,
-0.18,-0.05,3.68,-1.64,,,,,,
1.54,-0.37,1.36,-0.67,,,,,,
-0.1,-0.17,2.07,2.05,,,,,,
-0.34,0.7,-5.36,0.16,,,,,,
-0.19,-0.08,0.57,0.31,,,,,,
-0.1,1.66,-3.45,-0.86,,,,,,
-0.4,0.01,4.25,-0.1,,,,,,
0.12,0.12,1.15,-1.65,,,,,,
-0.03,0.04,0.67,-0.27,,,,,,
0.4,-0.34,0.04,-2.22,,,,,,
0.05,-0.45,0.35,3.85,,,,,,
-0.08,-0.48,-0.5,0.17,,,,,,
0.2,-0.11,87,0.69,,,,,,
0.15,-0.53,-0.45,0.32,,,,,,
-0.17,0.26,-60,0.72,,,,,,
0.11,0.15,4.15,0.27,,,,,,
-0.2,-0.48,8,1.16,,,,,,
0.33,-0.17,-25,-0.46,,,,,,
0.78,0.01,-36,-0.42,,,,,,
-0.18,-0.12,0.65,0.09,,,,,,
0.21,-0.2,35,0.71,,,,,,
0.79,0.29,1.44,0.59,,,,,,
0.44,0.12,66.5,0.37,,,,,,
0.89,-0.34,186,0.75,,,,,,
0.53,-0.07,0.14,-0.14,,,,,,
-0.06,-0.03,-3,0.06,,,,,,
-0.26,0,-280,0.54,,,,,,
0.08,-0.03,0.22,3.28,,,,,,
0,0.12,-1.38,0.3,,,,,,
0.16,-0.22,45,-0.1,,,,,,
-0.22,-0.12,35,-0.02,,,,,,
-0.08,0.18,113.5,0.03,,,,,,
-0.17,0,1.26,-0.11,,,,,,
0.04,0.06,67,0.09,,,,,,
0.19,-0.23,40,-0.05,,,,,,
0.19,0.73,-0.28,0.12,,,,,,
-0.28,0.15,72,0.01,,,,,,
-0.29,-0.17,1.5,-0.05,,,,,,
0.28,-0.39,0.1,-0.19,,,,,,
-0.11,-0.3,0.18,0.01,,,,,,
-0.18,0.07,57,-0.13,,,,,,
0.75,0.26,-0.55,-0.11,,,,,,
0.78,0.24,156,0.19,,,,,,
0.29,-0.14,-355,0.44,,,,,,
0.16,0.17,125,0.2,,,,,,
-0.2,-0.05,-2700,-0.01,,,,,,
-0.19,-0.26,0.33,0.14,,,,,,
0.07,-0.06,-0.15,-0.38,,,,,,
-0.2,-0.34,0.53,0.14,,,,,,
0.1,-0.38,2.55,0.14,,,,,,
0.27,-0.03,-2.65,-0.64,,,,,,
0.04,0.07,-203,-0.43,,,,,,
0.27,-0.3,23,0.05,,,,,,
0.15,0.15,0.52,0.46,,,,,,
-0.25,-0.45,700,-0.04,,,,,,
-0.28,-0.27,0.18,0.19,,,,,,
-0.07,-0.39,0.23,-0.21,,,,,,
-0.37,-0.4,-32,0.05,,,,,,
0.06,0.94,1,0.41,,,,,,
0.4,0.01,0.25,0.36,,,,,,
0.46,-0.02,3,0.07,,,,,,
-0.33,-0.18,1,-0.36,,,,,,
0.42,-0.12,0,0.27,,,,,,
0.02,0.12,1.4,-0.08,,,,,,
-0.25,0.13,0.09,-0.17,,,,,,
0.01,-0.24,-0.02,0.05,,,,,,
0.55,-0.5,-0.75,0.1,,,,,,
-0.17,-0.02,2800,0.67,,,,,,
-0.01,-0.37,0.16,0.15,,,,,,
0.08,0.55,0.53,0.24,,,,,,
0.26,0,30.6,-0.02,,,,,,
-0.12,0.13,157,0.07,,,,,,
0.3,-0.32,0,0.04,,,,,,
-0.18,0.01,-120,-0.03,,,,,,
0.06,0.21,0.21,0.01,,,,,,
0.64,0.03,-0.25,0.93,,,,,,
-0.27,0,-3,-0.21,,,,,,
-0.01,-0.05,0.09,0.04,,,,,,
0.27,-0.01,1.65,3.5,,,,,,
-0.41,-0.28,1.93,-0.01,,,,,,
-0.05,-0.27,0.87,-0.1,,,,,,
-0.31,-0.16,0.75,0.08,,,,,,
0.18,0.94,-450,0.05,,,,,,
0.43,-0.12,1.19,0.46,,,,,,
-0.24,-0.33,0.04,-0.16,,,,,,
-0.06,-0.31,-0.85,0.03,,,,,,
-0.13,-0.3,-0.84,0.43,,,,,,
1.29,-0.14,-9,0.41,,,,,,
-0.05,-0.01,-6.5,-0.09,,,,,,
0,-0.08,62,-0.03,,,,,,
0.12,0.01,0.43,0.05,,,,,,
-0.15,-0.11,-1.4,3.2,,,,,,
-0.26,-0.27,0.25,0.12,,,,,,
-0.23,-0.27,-0.3,0.87,,,,,,
-0.35,0.48,-0.43,-0.21,,,,,,
-0.1,-0.08,0.43,0.42,,,,,,
-0.08,-0.27,-0.7,1.05,,,,,,
0.09,0.42,8.7,1.8,,,,,,
0.15,-0.13,2.72,0.84,,,,,,
-0.14,0.02,-0.06,0.55,,,,,,
-0.05,-0.01,0.36,-0.17,,,,,,
0.76,-0.34,0.02,0.22,,,,,,
0.22,0.06,-200,4.91,,,,,,
-0.08,0.26,0.2,0.98,,,,,,
0.46,1.13,0.2,-0.05,,,,,,
0.29,-0.13,9000,0.96,,,,,,
0.34,-0.23,-2.6,-0.73,,,,,,
0.01,-0.02,4.4,-1.06,,,,,,
0.02,0.07,0.7,-2.74,,,,,,
-0.3,0.09,1.05,0.47,,,,,,
-0.19,-0.25,0.95,-0.6,,,,,,
-0.19,-0.28,0.35,0.77,,,,,,
2.44,-0.17,-10000,1.51,,,,,,
-0.3,-0.22,1900,-0.18,,,,,,
-0.38,-0.13,1500,-0.68,,,,,,
-0.2,0.01,-0.2,0.42,,,,,,
0.34,0.21,-16.75,1.1,,,,,,
-0.22,0.26,-120,0.2,,,,,,
0.25,-0.27,-0.76,2.85,,,,,,
0.46,-0.42,0.62,0.86,,,,,,
-0.38,-0.16,0.14,-0.33,,,,,,
-0.05,0.51,2.3,0.09,,,,,,
-0.2,0.39,-3.19,0.8,,,,,,
-0.23,-0.16,0.42,0.23,,,,,,
0.01,-0.09,0.04,0.49,,,,,,
0.04,-0.11,1.09,-0.74,,,,,,
-0.44,-0.77,2.5,0.1,,,,,,
-0.33,-0.09,-0.78,-1.41,,,,,,
-0.38,-0.03,-0.27,0.4,,,,,,
-0.2,0.05,0.37,-0.3,,,,,,
-0.48,-0.15,0.25,0.85,,,,,,
1.01,-0.42,-0.41,-0.21,,,,,,
-0.28,-0.11,9.5,-0.11,,,,,,
-0.49,-0.19,-5000,0.01,,,,,,
-0.1,0.03,-1.08,0.62,,,,,,
-0.02,-0.34,-0.42,0.79,,,,,,
-0.19,0.25,-0.19,0.8,,,,,,
-0.44,0.24,0.43,-0.06,,,,,,
-0.34,-0.05,0.78,0.46,,,,,,
0.09,-0.02,0.9,0.16,,,,,,
-0.14,-0.08,4.73,-0.15,,,,,,
-0.11,0.14,20000,0.37,,,,,,
-0.36,0.3,0.45,1.15,,,,,,
-0.4,0.03,0.88,1.03,,,,,,
-0.32,0.19,23000,0.36,,,,,,
-0.27,0.54,30,-0.04,,,,,,
0.45,-0.33,0.25,-0.03,,,,,,
-0.23,-0.2,0.9,-0.59,,,,,,
-0.43,0.08,0.26,-0.07,,,,,,
0.08,0.77,-0.22,-0.68,,,,,,
-0.17,-0.18,2300,0.13,,,,,,
-0.6,0.04,-0.33,0.08,,,,,,
-0.17,0.35,0.03,-0.04,,,,,,
-0.46,-0.15,1.75,-0.1,,,,,,
0.51,0.17,-0.51,-3.8,,,,,,
-0.25,0.55,-0.47,-0.25,,,,,,
0.23,-0.53,-0.27,14.25,,,,,,
0.1,1.26,-1.25,7,,,,,,
0.08,-0.56,0.9,-7,,,,,,
0.38,-0.21,0.4,-1.7,,,,,,
-0.22,0.42,-29.2,3.1,,,,,,
-0.07,0.29,2.5,4,,,,,,
0.02,-0.14,0.74,-1.95,,,,,,
1.22,-0.14,1.25,0.81,,,,,,
-0.1,-0.16,-0.25,13.5,,,,,,
-0.14,0.1,-1.24,3.5,,,,,,
-0.01,0.04,37,3.6,,,,,,
0.04,0.09,5.95,28,,,,,,
0.27,-0.52,0.78,-9.4,,,,,,
-0.14,-0.25,0.85,0.55,,,,,,
0.16,0.29,2.07,3.5,,,,,,
0.22,-0.23,-1.81,-10.5,,,,,,
0.3,0.14,0.7,-0.65,,,,,,
0.26,-0.4,-30,4.1,,,,,,
0.11,0.23,-7.05,-0.35,,,,,,
-0.14,-0.2,3.25,3.5,,,,,,
-0.2,-0.43,1.05,-0.75,,,,,,
-0.03,-0.59,0.01,0.45,,,,,,
0.06,0.19,-1.38,1.15,,,,,,
0.08,-0.2,0.3,-2.2,,,,,,
0.05,0.46,-99.5,-0.95,,,,,,
-0.16,-0.21,-16.25,7,,,,,,
-0.34,-0.33,1,0.03,,,,,,
-0.27,-0.31,1.24,2,,,,,,
0.65,-0.06,-0.37,-11.2,,,,,,
0.45,0.06,-2.64,4.75,,,,,,
0.19,-0.18,-0.05,10.5,,,,,,
-0.18,-0.19,0.25,1.3,,,,,,
0.05,-0.37,-0.7,-2.6,,,,,,
-0.13,-0.07,0.46,0.63,,,,,,
0.3,0.32,6.79,7.2,,,,,,
0.1,-0.09,0.29,22.5,,,,,,
-0.05,-0.07,1.43,-3.25,,,,,,
-0.23,-0.13,-2.05,1.55,,,,,,
0.14,-0.34,-4.22,4.99,,,,,,
-0.31,0.15,0.85,-5.47,,,,,,
-0.13,-0.43,-1.1,-7.03,,,,,,
0.01,-0.21,-3.55,1.34,,,,,,
0.1,-0.48,-0.07,-6.14,,,,,,
0.34,-0.13,-0.36,2.06,,,,,,
-0.34,-0.24,-0.69,0.22,,,,,,
0.42,0.04,1.4,-1.61,,,,,,
0.2,-0.13,0.65,0.12,,,,,,
0.07,-0.26,-0.31,-1.16,,,,,,
-0.19,0,-0.43,-0.29,,,,,,
-0.1,-0.27,-1.55,2.09,,,,,,
-0.03,0.16,150,-0.08,,,,,,
-0.17,0.14,1.25,-3.3,,,,,,
0.24,-0.23,0.08,-3.28,,,,,,
0.27,-0.24,0.72,-3.59,,,,,,
0.18,-0.17,-102,0.82,,,,,,
0.56,-0.1,3.38,1.15,,,,,,
-0.05,-0.27,0.08,-0.16,,,,,,
0.54,-0.03,-2.25,-0.24,,,,,,
0.11,1.17,14,0.2,,,,,,
0.19,-0.32,-0.27,-2.98,,,,,,
-0.01,0.11,2.11,-1.06,,,,,,
0.49,-0.08,-3.74,-2.4,,,,,,
-0.12,0.04,-0.22,-3.21,,,,,,
-0.4,0.05,-140,0.26,,,,,,
-0.37,-0.22,3.29,1.03,,,,,,
0.3,-0.28,0.45,-1.44,,,,,,
-0.09,-0.4,2.82,-1.75,,,,,,
0.05,-0.29,1.35,0.57,,,,,,
-0.24,0.12,7,-0.52,,,,,,
-0.11,0.07,2.34,-2.55,,,,,,
0.02,-0.25,0.95,0.45,,,,,,
-0.1,0.27,0.38,0.25,,,,,,
-0.16,0.48,-4.44,-0.68,,,,,,
0.48,0.41,1.5,0.04,,,,,,
-0.27,0.91,-2.75,-1.26,,,,,,
0.67,0.06,0.6,-25.52,,,,,,
-0.01,-0.05,48,0.92,,,,,,
-0.21,0.38,13.42,-0.38,,,,,,
-0.25,0.45,0.53,0.45,,,,,,
0.12,-0.23,-0.15,-0.82,,,,,,
0.75,-0.19,0.93,0.36,,,,,,
-0.05,-0.2,-0.99,1.67,,,,,,
0.04,0.08,-0.1,-22.1,,,,,,
0,-0.19,-4.18,0.44,,,,,,
0.03,0.01,-0.17,-0.26,,,,,,
-0.04,0.12,0.23,0.7,,,,,,
-0.19,0.03,-2.25,0.6,,,,,,
0.01,0.01,0.53,2.29,,,,,,
0.5,-0.1,-0.23,-0.37,,,,,,
0.21,-0.14,-2.58,1.83,,,,,,
-0.23,-0.02,1.83,-4.87,,,,,,
-0.06,-0.08,-2.62,-1.99,,,,,,
-0.04,-0.21,0.76,-1.62,,,,,,
-0.17,-0.11,-5.9,0.96,,,,,,
-0.02,-0.17,-2.15,-1.93,,,,,,
-0.2,-0.1,-0.06,-6.63,,,,,,
-0.13,0.05,5.34,0.33,,,,,,
-0.07,-0.28,-0.36,1.18,,,,,,
0.15,0.83,-0.93,0.37,,,,,,
-0.38,0.05,0.08,-0.87,,,,,,
-0.01,-0.07,0.91,-1.71,,,,,,
-0.28,0.07,-10.65,-0.13,,,,,,
0.27,-0.24,2.22,-4.8,,,,,,
-0.28,0.18,3.5,-2.16,,,,,,
0.65,-0.09,-0.04,1.09,,,,,,
-0.2,-0.23,-0.79,-0.76,,,,,,
0.32,-0.03,1.69,-0.09,,,,,,
0.62,-0.05,-0.14,1.02,,,,,,
0.06,-0.04,4.07,-1,,,,,,
-0.46,-0.38,-0.53,-0.66,,,,,,
-0.26,-0.2,-0.9,2.74,,,,,,
-0.08,0.18,-6.5,3.29,,,,,,
-0.04,-0.17,-1.36,2.53,,,,,,
0.07,-0.38,-1.49,0.11,,,,,,
-0.03,0.04,-0.44,-3.69,,,,,,
0.13,0.17,1.57,-0.44,,,,,,
0.36,-0.42,-1.64,-28.24,,,,,,
-0.11,-0.12,-1.59,1.37,,,,,,
0.22,0.22,-0.38,37.5,,,,,,
-0.1,0.47,-0.38,4,,,,,,
0.17,-0.04,-0.45,5.4,,,,,,
-0.06,-0.18,27.4,-4.4,,,,,,
0.1,-0.31,-0.8,-5.6,,,,,,
0.34,0.39,2.14,20,,,,,,
0.65,-0.11,-1.05,-2,,,,,,
0.12,0.56,-6.28,1,,,,,,
-0.22,-0.07,-0.45,0,,,,,,
0.09,-0.07,0.45,-3.5,,,,,,
0,-0.17,0.3,18,,,,,,
-0.13,-0.05,-3.75,5.5,,,,,,
-0.3,0.14,0.29,4.5,,,,,,
-0.2,0.39,-1.54,0,,,,,,
-0.12,0.03,0.28,-4.39,,,,,,
-0.23,-0.21,-4,-0.05,,,,,,
0.27,-0.16,-0.31,-0.45,,,,,,
-0.03,-0.42,0.41,0.58,,,,,,
-0.17,0.13,-0.33,-0.09,,,,,,
0.06,-0.14,1.88,-0.3,,,,,,
0.64,-0.03,29,0.06,,,,,,
-0.32,-0.63,0.15,0.74,,,,,,
0.46,0.13,-1.81,-1.81,,,,,,
-0.39,-0.29,-3.61,-1.05,,,,,,
-0.29,0.16,-0.6,-1.02,,,,,,
-0.46,-0.08,0.04,-0.07,,,,,,
0.11,-0.03,0.36,-0.1,,,,,,
-0.11,0.03,-0.49,-0.97,,,,,,
-0.1,-0.06,1,-0.47,,,,,,
0.1,0.06,-0.31,-0.15,,,,,,
0.12,-0.45,5.6,0.05,,,,,,
0.51,0,-0.36,-0.25,,,,,,
1.33,-0.38,-0.42,0.03,,,,,,
0.2,-0.26,-0.2,-0.31,,,,,,
0.21,-0.3,-5.17,0.04,,,,,,
1.08,0.33,-1.22,-0.25,,,,,,
0.48,-0.04,-0.97,-0.57,,,,,,
-0.16,0.03,-216,-0.14,,,,,,
0.3,0.34,-0.26,2.19,,,,,,
1.84,0.38,70,-0.11,,,,,,
0.84,-0.2,-0.12,-0.68,,,,,,
0.13,0.12,-5.2,-0.01,,,,,,
-0.57,-0.37,-2.04,0.16,,,,,,
0.27,0.19,5,0.06,,,,,,
-0.06,-0.31,5.94,-0.54,,,,,,
-0.11,0.08,-1.94,0.61,,,,,,
-0.03,-0.29,-2.84,0.5,,,,,,
-0.11,0,-4.76,-2,,,,,,
0.44,-0.16,0.49,1.02,,,,,,
3,0.1,0.38,-1.49,,,,,,
-0.02,0.4,4.78,-0.1,,,,,,
-0.28,0.05,-3.44,-0.21,,,,,,
-0.13,-0.19,-1.95,-0.21,,,,,,
1.67,-0.24,1.49,-0.01,,,,,,
0.21,0.17,34,0.03,,,,,,
0.7,-0.18,-8.35,-0.22,,,,,,
-0.09,0.07,3.34,0.11,,,,,,
-0.17,0.02,-1.23,-0.84,,,,,,
0.34,0.13,12.9,-0.99,,,,,,
0.1,-0.02,5.59,-0.3,,,,,,
-0.16,-0.55,0.49,-0.12,,,,,,
0.11,0.03,-2.66,0.97,,,,,,
-0.01,-0.08,3.58,-1.15,,,,,,
-0.51,0.12,1.18,0.06,,,,,,
0.47,-0.07,7.04,-1.12,,,,,,
0.4,0.2,-1.25,-0.01,,,,,,
-0.01,-0.12,-1.46,2.34,,,,,,
0.39,-0.06,-4.26,5.23,,,,,,
0.47,-0.21,0.55,-7.09,,,,,,
0.53,0.01,-1.83,0.01,,,,,,
0.85,-0.17,1.55,-5.78,,,,,,
-0.07,0.07,-2.79,-5.27,,,,,,
-0.01,-0.26,0.85,0.51,,,,,,
-0.56,0.04,-0.86,1.09,,,,,,
-0.29,-0.15,4,0.32,,,,,,
-0.46,-0.12,1.7,-0.64,,,,,,
-0.03,-0.12,30,-0.44,,,,,,
-0.13,-0.2,-1.39,-3.66,,,,,,
-0.41,-0.27,145,0.19,,,,,,
-0.09,0.37,-2.41,1.04,,,,,,
-0.04,-0.27,-1.05,-1.38,,,,,,
-0.11,-0.18,4.19,1.3,,,,,,
-0.8,0.51,-0.29,-0.26,,,,,,
-0.2,-0.22,1.94,0.58,,,,,,
-0.15,3.51,4.68,-1.77,,,,,,
-0.08,0.07,1,1.19,,,,,,
0.01,-0.33,0.93,-1.25,,,,,,
-0.34,-0.35,-21,-0.46,,,,,,
-0.14,0.31,0.89,-4.67,,,,,,
0,-0.19,-0.43,-1.68,,,,,,
0.07,0.52,0.16,0.43,,,,,,
-0.05,0.23,1.17,-5.12,,,,,,
0.13,0.07,0.74,-1.39,,,,,,
-0.19,-0.04,0.59,-4.06,,,,,,
-0.18,0.22,-6.43,-1.1,,,,,,
-0.47,-0.08,-0.21,1.22,,,,,,
-0.47,-0.47,0.65,-0.52,,,,,,
-0.2,0.37,-0.13,-1.77,,,,,,
-0.33,-0.32,-3.02,-1.3,,,,,,
-0.29,0.23,12.34,6.7,,,,,,
-0.2,-0.15,-3.84,0.13,,,,,,
0.92,0.85,-12.42,119.5,,,,,,
-0.27,-0.1,0.18,-43.5,,,,,,
0.13,-0.36,-0.88,30,,,,,,
0.42,0.09,0.06,2,,,,,,
-0.22,-0.07,0.9,9.3,,,,,,
-0.19,0.06,0.8,-274,,,,,,
0.43,0.03,0.52,98,,,,,,
1.48,-0.16,-0.61,-4.4,,,,,,
-0.13,-0.04,-2.35,-1.9,,,,,,
0.08,-0.15,0.8,-20.2,,,,,,
-0.31,-0.27,2.7,-22.9,,,,,,
-0.08,0.08,-5.76,97,,,,,,
-0.28,-0.21,0.13,-61,,,,,,
0.01,-0.1,-1.05,22.5,,,,,,
0.67,0.2,-0.75,-25.25,,,,,,
0.21,-0.28,-0.15,-23,,,,,,
-0.3,0.03,0.54,4,,,,,,
-0.11,0.29,-0.72,-14.4,,,,,,
-0.01,0.07,7.74,0.4,,,,,,
-0.07,-0.05,1.69,-7.3,,,,,,
-0.41,-0.13,-5.5,0.75,,,,,,
-0.44,-0.13,0.42,7.75,,,,,,
-0.5,-0.2,-20.4,13,,,,,,
-0.07,-0.09,-1.72,-0.14,,,,,,
0.04,-0.33,3.4,110,,,,,,
0.06,-0.14,-26.7,-6,,,,,,
-0.09,-0.02,1.82,0,,,,,,
-0.27,-0.04,-1.65,-2.9,,,,,,
-0.12,0.38,3.56,7,,,,,,
-0.07,0.32,3.66,-6.25,,,,,,
-0.03,0,-4.76,-27,,,,,,
-0.16,0.25,0.12,-15,,,,,,
0.16,1.01,-0.16,-3.9,,,,,,
-0.25,0.38,-8.28,-46,,,,,,
-0.19,-0.2,-0.48,-1.2,,,,,,
0.87,-0.25,-2.03,6.9,,,,,,
1.27,-0.14,22,-55.5,,,,,,
-0.05,-0.2,-1.42,46.5,,,,,,
-0.33,-0.28,-0.24,-31.5,,,,,,
-0.27,0.12,3.08,20.75,,,,,,
0.34,-0.16,-5.86,6.25,,,,,,
-0.38,0.57,0,-1.8,,,,,,
-0.25,0.15,-5.75,-2.5,,,,,,
0.03,0.39,-1.06,-11.2,,,,,,
-0.12,0.23,-5.08,-0.25,,,,,,
0.05,0.12,-10.15,13.1,,,,,,
0.19,-0.07,4.98,-18,,,,,,
0.02,0.05,-5.1,-6.5,,,,,,
-0.25,-0.21,1.11,-55.7,,,,,,
-0.27,0.13,-1.88,-25,,,,,,
-0.01,1.05,-0.68,-4.6,,,,,,
-0.3,-0.26,-0.52,-13.5,,,,,,
-0.31,-0.02,0.88,7,,,,,,
-0.33,-0.15,-11.77,14.5,,,,,,
-0.01,-0.27,-24.78,-97,,,,,,
-0.06,-0.26,-0.2,-6.4,,,,,,
0.22,0.1,0.1,-17.3,,,,,,
0.18,-0.06,-3.87,-47.5,,,,,,
-0.08,-0.14,-5.39,5,,,,,,
-0.07,-0.07,0.43,-1.5,,,,,,
-0.13,-0.21,0.25,-14.4,,,,,,
-0.37,-0.16,-9.87,1,,,,,,
0.42,-0.07,0.1,-6,,,,,,
-0.03,0.16,1.61,11.25,,,,,,
0.15,0.22,-1.23,-495,,,,,,
-0.39,-0.04,-7.9,9.3,,,,,,
0.14,-0.29,-3.07,7.2,,,,,,
0.46,0.25,-0.23,-8.25,,,,,,
-0.33,-0.29,0.12,-3,,,,,,
0.23,-0.06,1.21,-9.2,,,,,,
0.79,-0.21,-4.03,-7,,,,,,
0.11,0.33,-0.95,3.55,,,,,,
0.41,-0.31,-0.25,-1.4,,,,,,
0.26,0.04,3.92,3.5,,,,,,
