country,marketclass,pro_forma_gics_industry_group_name,weightchange,excessvolume,pricechangeeffective
INDIA,EMSC,Insurance,0.030833,0.720641636,93
CHINA,EMSC,Food Beverage & Tobacco,0.012,0.309378945,-0.26
BRAZIL,EMSC,Consumer Services,0.011429,0.044939547,1.99
USA,DMSC,Software & Services,0.010751,-0.34737835,-0.31
THAILAND,EMSC,Media,0.01005,-0.381416738,-0.5
SPAIN,DMSC,Consumer Services,0.01,0.214757303,-0.33
PHILIPPINES,EM,Capital Goods,0.01,0.857098334,-0.78
INDIA,EMSC,"Pharmaceuticals, Biotechnology & Life Sciences",0.01,-0.552743558,3.55
HONG KONG,DMSC,Capital Goods,0.01,-0.141110644,0.06
INDIA,EM,Banks,0.009481,0.175710861,-24.65
USA,DMSC,Banks,0.008821,-0.030862082,1.69
KOREA,EMSC,Real Estate,0.008,1.323842752,-3000
USA,DMSC,Technology Hardware & Equipment,0.0077,0.675691416,-1.56
HONG KONG,DMSC,Retailing,0.007699,0.190343718,-0.35
CHINA,EMSC,Consumer Durables & Apparel,0.0075,0.836834226,0.2
GERMANY,DMSC,Semiconductors & Semiconductor Equipment,0.0075,-0.009484187,-2.057
FRANCE,DMSC,Materials,0.0075,0.370217079,-4.445
USA,DMSC,Insurance,0.006675,0.111416909,-1.83
UNITED KINGDOM,DMSC,Retailing,0.006667,0.141310794,-17
SOUTH AFRICA,EMSC,Consumer Services,0.006667,0.233087054,-11
UNITED KINGDOM,DMSC,Materials,0.006667,0.285636987,-13.1
NORWAY,DMSC,Transportation,0.006027,0.675162079,-2.5
CANADA,DMSC,Utilities,0.00601,-0.401259988,-0.74
INDIA,EMSC,Utilities,0.006,0.312463858,-25.6
SWEDEN,DMSC,Consumer Services,0.006,-0.619575126,-3.5
INDIA,EMSC,Capital Goods,0.006,0.269995656,5.1
TAIWAN,EMSC,"Pharmaceuticals, Biotechnology & Life Sciences",0.006,-0.441536647,-4.5
ISRAEL,DMSC,Banks,0.005714,0.128317305,-306
USA,DMSC,Software & Services,0.005696,-0.228384537,-0.13
FINLAND,DMSC,Retailing,0.005556,-0.289400581,0.59
FRANCE,DM,Utilities,0.005385,0.404944044,-0.83
USA,DMSC,Semiconductors & Semiconductor Equipment,0.005119,-0.130689415,-4.2
UNITED KINGDOM,DMSC,Materials,0.005008,0.13577248,-14.7
DENMARK,DMSC,Food Beverage & Tobacco,0.005,0.485236261,13.5
INDIA,EMSC,Capital Goods,0.005,-0.16469327,-62.65
SINGAPORE,DMSC,Food Beverage & Tobacco,0.005,-0.531133553,0
INDIA,EMSC,Software & Services,0.005,0.464120411,-15.65
HONG KONG,DMSC,Food & Staples Retailing,0.005,-0.492029903,-0.05
SWEDEN,DMSC,Banks,0.005,-0.417129493,-2.7
USA,DMSC,Retailing,0.005,0.568594288,0
JAPAN,DMSC,Real Estate,0.005,-0.15449724,85
MALAYSIA,EMSC,Real Estate,0.005,0.802271776,-0.02
PORTUGAL,DMSC,Materials,0.005,0.721272157,-0.72
UNITED KINGDOM,DMSC,Insurance,0.005,-0.645528741,-11
CHINA,EMSC,Health Care Equipment & Services,0.005,-0.173026822,0.22
RUSSIA,EMSC,Energy,0.00496,-0.221017193,-0.75
ISRAEL,DMSC,Software & Services,0.004615,0.306874617,-0.72
NORWAY,DMSC,Retailing,0.004615,0.467362359,0.69
CANADA,DMSC,Consumer Services,0.004584,-0.197661641,0.06
USA,DMSC,Energy,0.004545,-0.155756877,1.43
CHINA,EMSC,Software & Services,0.004458,1.248176711,-7.88
TAIWAN,EM,Food Beverage & Tobacco,0.004444,1.299245776,-5.4
JAPAN,DMSC,Capital Goods,0.004444,-0.041438666,0
JAPAN,DMSC,Software & Services,0.004341,-0.52078297,-80
USA,DMSC,"Pharmaceuticals, Biotechnology & Life Sciences",0.004286,-0.33512891,0.86
CHINA,EMSC,Food Beverage & Tobacco,0.004167,0.028978801,0
SWITZERLAND,DMSC,Capital Goods,0.0041,0.463845035,-2.3
USA,DMSC,Software & Services,0.00406,0.049270278,-2.65
USA,DM,Energy,0.004048,0.092916976,0.6
SOUTH AFRICA,EM,Telecommunication Services,0.004,0.563090829,-1277
USA,DMSC,Software & Services,0.004,0.348077264,-0.22
KOREA,EMSC,"Pharmaceuticals, Biotechnology & Life Sciences",0.004,2.186959821,-1290
KOREA,EMSC,"Pharmaceuticals, Biotechnology & Life Sciences",0.003949,-0.11708587,-13500
PHILIPPINES,EMSC,Software & Services,0.003928,-0.128023191,-0.06
MEXICO,EMSC,Transportation,0.003846,-0.168823744,-0.12
USA,DMSC,Diversified Financials,0.003782,0.271341976,0.21
GERMANY,DMSC,Diversified Financials,0.00375,0.241535757,0.765
USA,DMSC,Software & Services,0.003696,0.850625437,-1.5
INDIA,EM,Materials,0.003637,0.099077773,17.75
HONG KONG,DMSC,Media,0.003459,-0.244366068,0.035
HONG KONG,DMSC,Commercial & Professional Services,0.003419,0.051711869,0
JAPAN,DMSC,Retailing,0.003384,-0.120822373,-110
USA,DMSC,Automobiles & Components,0.003368,-0.013261807,2.01
USA,DM,Energy,0.003353,0.113146519,2.55
BRAZIL,EM,Energy,0.003353,0.344134131,1.5
ISRAEL,DMSC,Telecommunication Services,0.003333,0.376222008,-146
CHINA,EMSC,Transportation,0.003333,-0.09195034,0.09
TAIWAN,EMSC,Materials,0.003333,-0.186271857,0.5
AUSTRIA,DM,Capital Goods,0.003333,0.874884964,-0.025
FRANCE,DMSC,Insurance,0.003333,0.585103705,-1.28
CHINA,EM,Capital Goods,0.003333,0.95340204,-0.84
UNITED KINGDOM,DMSC,Banks,0.003333,1.603838189,47.1
GERMANY,DMSC,Capital Goods,0.003333,-0.189314179,-0.04
GERMANY,DMSC,Consumer Services,0.003333,0.654737403,-9.933
JAPAN,DMSC,Health Care Equipment & Services,0.003333,0.663246229,-280
JAPAN,DMSC,Commercial & Professional Services,0.003333,0.290940013,160
USA,DMSC,Consumer Services,0.003333,-0.058164327,-0.92
TURKEY,EMSC,Materials,0.003333,0.121207543,0.04
CHINA,EMSC,Food Beverage & Tobacco,0.003333,-0.021607151,-0.03
KOREA,EMSC,"Pharmaceuticals, Biotechnology & Life Sciences",0.003333,0.218001784,-7400
CHINA,EMSC,Food Beverage & Tobacco,0.003333,0.861032013,0.04
SINGAPORE,DMSC,Food Beverage & Tobacco,0.003333,0.308836073,-0.015
USA,DMSC,Consumer Services,0.003328,0.234007316,-0.67
CHINA,EMSC,Software & Services,0.003206,1.490993692,-0.57
CANADA,DMSC,Diversified Financials,0.00319,-0.286368647,-0.04
MALAYSIA,EMSC,Retailing,0.003061,-0.278857184,0.13
NETHERLANDS,DMSC,Insurance,0.003,-0.577362129,-0.67
JAPAN,DMSC,Software & Services,0.003,0.38186147,-51
GERMANY,DMSC,Transportation,0.002857,-0.167879479,-0.224
SWEDEN,DMSC,Diversified Financials,0.002857,-0.339303863,-0.1
ISRAEL,DMSC,Energy,0.002857,0.096766289,-3.2
KOREA,EMSC,"Pharmaceuticals, Biotechnology & Life Sciences",0.002857,0.854232428,-1600
USA,DMSC,"Pharmaceuticals, Biotechnology & Life Sciences",0.002857,0.451306364,-0.1
AUSTRALIA,DM,Technology Hardware & Equipment,0.002857,0.371526414,0.39
SWEDEN,DMSC,Banks,0.002857,-0.293533232,-0.6
USA,DMSC,Health Care Equipment & Services,0.002857,0.063037397,-1.18
CHINA,EMSC,Consumer Durables & Apparel,0.002857,-0.194600655,0.04
SPAIN,DMSC,Automobiles & Components,0.002857,-0.021869796,-1.065
UNITED KINGDOM,DMSC,Retailing,0.002857,-0.103435658,-7.8
GERMANY,DM,Retailing,0.002857,0.223298384,-3.313
SPAIN,DMSC,Consumer Services,0.002857,0.136367286,-0.06
SWITZERLAND,DMSC,"Pharmaceuticals, Biotechnology & Life Sciences",0.002857,-0.361024249,0.2
TAIWAN,EMSC,Technology Hardware & Equipment,0.002832,-0.286325887,-2.5
CHINA,EMSC,Health Care Equipment & Services,0.002757,-0.225628982,0.05
USA,DMSC,Energy,0.002756,0.426631664,1.41
SWITZERLAND,DMSC,"Pharmaceuticals, Biotechnology & Life Sciences",0.002746,0.220328105,-0.4
USA,DMSC,Retailing,0.002727,0.306541446,-2.15
USA,DMSC,Software & Services,0.002719,0.177010078,1.32
USA,DMSC,Software & Services,0.002712,-0.107641288,-0.94
USA,DMSC,Commercial & Professional Services,0.00269,0.033566851,5.95
USA,DMSC,Technology Hardware & Equipment,0.002671,0.041035118,-3.65
USA,DMSC,"Pharmaceuticals, Biotechnology & Life Sciences",0.002655,0.206854115,-4.35
AUSTRIA,DM,Banks,0.002631,0.102802358,-1.855
CHINA,EMSC,"Pharmaceuticals, Biotechnology & Life Sciences",0.002549,0.664116841,0.83
USA,DMSC,Software & Services,0.002525,0.406658899,-2.91
THAILAND,EMSC,Food Beverage & Tobacco,0.002521,-0.69891723,-0.4
USA,DMSC,Telecommunication Services,0.002507,-0.230104299,-0.69
PHILIPPINES,EMSC,Food Beverage & Tobacco,0.002504,-0.233758471,-1
INDIA,EMSC,Utilities,0.0025,0.301548256,126.5
BRAZIL,EM,Utilities,0.0025,-0.069534543,-0.27
INDONESIA,EMSC,Insurance,0.0025,-0.294892751,-32
CHINA,EMSC,Commercial & Professional Services,0.0025,1.128674448,-0.68
THAILAND,EMSC,Food Beverage & Tobacco,0.0025,0.312943895,-3
AUSTRALIA,DM,Materials,0.0025,0.086788061,0.95
INDIA,EMSC,Consumer Services,0.0025,0.548789103,-0.3
TURKEY,EMSC,Capital Goods,0.0025,-0.291505889,-0.02
USA,DMSC,"Pharmaceuticals, Biotechnology & Life Sciences",0.0025,-0.322038679,-0.12
INDONESIA,EMSC,Food Beverage & Tobacco,0.0025,-0.399520032,-50
INDONESIA,EMSC,Media,0.0025,-0.275618016,20
GERMANY,DMSC,Capital Goods,0.0025,-0.115543856,-0.058
CHINA,EMSC,Capital Goods,0.0025,0.159928388,0.19
USA,DMSC,Diversified Financials,0.0025,-0.207351837,0.33
CANADA,DMSC,Food Beverage & Tobacco,0.0025,-0.26767547,-0.29
JAPAN,DMSC,Capital Goods,0.0025,0.131235505,154
INDONESIA,EMSC,Food & Staples Retailing,0.0025,0.057516326,15
MEXICO,EMSC,Real Estate,0.0025,-0.382018648,0.63
UNITED KINGDOM,DMSC,Banks,0.0025,0.127090289,11.2
JAPAN,DMSC,Materials,0.0025,0.239607659,-170
INDONESIA,EM,Materials,0.0025,1.003687265,-700
CHINA,EMSC,Commercial & Professional Services,0.0025,-0.213946502,-0.2
GERMANY,DMSC,Software & Services,0.0025,-0.098998276,-7.15
TAIWAN,EMSC,Consumer Durables & Apparel,0.0025,-0.404470654,8.5
UNITED KINGDOM,DMSC,Materials,0.0025,-0.725450734,-12
MALAYSIA,EM,Energy,0.0025,0.35468286,-0.54
CHINA,EMSC,Utilities,0.002498,-0.555597973,0.025
USA,DMSC,Utilities,0.002484,0.607817458,-1.45
UNITED KINGDOM,DMSC,Commercial & Professional Services,0.002468,-0.076043706,11.25
UNITED KINGDOM,DMSC,Software & Services,0.00241,0.167299773,-16.5
FRANCE,DMSC,"Pharmaceuticals, Biotechnology & Life Sciences",0.002392,0.454930168,5.14
AUSTRALIA,DM,Software & Services,0.002366,-0.337391712,-0.01
SWEDEN,DMSC,Telecommunication Services,0.002308,-0.037297457,1.8
SWEDEN,DMSC,Technology Hardware & Equipment,0.002308,0.111975277,-6.75
KOREA,EMSC,Semiconductors & Semiconductor Equipment,0.002308,0.164705315,-850
NEW ZEALAND,DMSC,Health Care Equipment & Services,0.002308,-0.34295646,0.22
CANADA,DMSC,Capital Goods,0.002306,0.156667827,-1.56
USA,DMSC,Banks,0.002302,-0.192146403,0.4
USA,DMSC,Software & Services,0.002298,0.129619674,-1.2
SINGAPORE,DMSC,Materials,0.002251,-0.207799313,0.005
USA,DMSC,Software & Services,0.002245,-0.032924457,-2.21
MALAYSIA,EMSC,Health Care Equipment & Services,0.002231,0.211106463,-0.02
SWEDEN,DMSC,Commercial & Professional Services,0.00223,-0.041780497,-2.6
CHINA,EMSC,Software & Services,0.002228,-0.11753827,-0.05
JAPAN,DMSC,Software & Services,0.002224,-0.304563529,16
UNITED KINGDOM,DMSC,Consumer Services,0.002223,0.022987418,7.25
NETHERLANDS,DMSC,Commercial & Professional Services,0.002222,-0.122224228,0.265
TAIWAN,EMSC,Household & Personal Products,0.002222,-0.553926168,6.5
CHINA,EMSC,Software & Services,0.002222,-0.615773002,-0.02
MALAYSIA,EMSC,Energy,0.002222,-0.163304826,-0.08
KOREA,EMSC,Semiconductors & Semiconductor Equipment,0.002222,-0.06616407,1250
UNITED KINGDOM,DMSC,Software & Services,0.002222,0.67145981,17.75
USA,DMSC,Insurance,0.002222,-0.042478359,0.07
ITALY,DMSC,Health Care Equipment & Services,0.002222,0.280796081,3.49
AUSTRALIA,DM,Retailing,0.002222,0.113918291,-0.13
UNITED KINGDOM,DMSC,Software & Services,0.002222,0.139971971,2.4
USA,DMSC,"Pharmaceuticals, Biotechnology & Life Sciences",0.002222,-0.19931545,0.53
NETHERLANDS,DMSC,Consumer Durables & Apparel,0.002222,-0.210646654,0.394
EGYPT,EMSC,Diversified Financials,0.002222,-0.481857373,0.65
CANADA,DMSC,Software & Services,0.002205,0.012153255,-5.6
USA,DMSC,Software & Services,0.002152,-0.006147331,-0.13
USA,DMSC,Software & Services,0.002145,-0.735726871,0
AUSTRALIA,DM,Health Care Equipment & Services,0.002143,-0.146212735,-0.12
TAIWAN,EMSC,Semiconductors & Semiconductor Equipment,0.002143,-0.135887828,0.42
SWEDEN,DMSC,Commercial & Professional Services,0.002143,-0.023674759,-0.8
JAPAN,DMSC,Consumer Durables & Apparel,0.002143,-0.111653648,-110
CHINA,EMSC,Materials,0.002113,-0.351299426,0.05
USA,DMSC,"Pharmaceuticals, Biotechnology & Life Sciences",0.002077,0.34509502,0.32
USA,DMSC,Banks,0.00206,-0.334829377,-0.2
JAPAN,DMSC,Software & Services,0.002048,0.225676706,7
USA,DMSC,Food Beverage & Tobacco,0.002021,0.358650485,3.35
MALAYSIA,EMSC,Real Estate,0.002005,1.061435903,-0.06
INDIA,EMSC,Real Estate,0.002003,-0.358485685,24.95
UNITED KINGDOM,DMSC,Insurance,0.002001,0.197428355,-5.6
SINGAPORE,DM,Capital Goods,0.002,-0.073355167,0.01
MALAYSIA,EM,Transportation,0.002,0.614495959,0.05
INDIA,EMSC,Health Care Equipment & Services,0.002,0.508508016,-26.85
ISRAEL,DMSC,Utilities,0.002,-0.611776058,-355
CANADA,DMSC,Banks,0.002,-0.095896209,0.19
HONG KONG,DMSC,Food & Staples Retailing,0.002,-0.369851039,-0.07
JAPAN,DMSC,Food & Staples Retailing,0.002,0.06177488,-15
THAILAND,EMSC,Real Estate,0.002,-0.114207376,-0.1
NEW ZEALAND,DMSC,Energy,0.002,-0.603414294,-0.07
SWITZERLAND,DMSC,Health Care Equipment & Services,0.002,0.957758715,10.9
INDIA,EM,Telecommunication Services,0.002,0.051382269,-7.4
RUSSIA,EM,Materials,0.002,-0.163729396,0.15
CHILE,EMSC,Food Beverage & Tobacco,0.002,-0.099780427,19.3
INDIA,EMSC,Transportation,0.002,-0.165818014,8.05
INDIA,EMSC,Telecommunication Services,0.002,0.094033938,-43.3
SWEDEN,DMSC,"Pharmaceuticals, Biotechnology & Life Sciences",0.002,0.125729867,-43
THAILAND,EMSC,Transportation,0.002,0.455886138,-2
HONG KONG,DMSC,Capital Goods,0.002,-1,0
USA,DMSC,Software & Services,0.002,0.060608454,-0.05
CHINA,EM,Capital Goods,0.002,0.090030236,0.04
CHINA,EMSC,Consumer Durables & Apparel,0.002,-0.398038713,0.03
INDIA,EM,Utilities,0.002,-0.178875071,0
JAPAN,DMSC,Consumer Durables & Apparel,0.002,0.141111772,10
USA,DMSC,Commercial & Professional Services,0.002,-0.002025327,0.73
USA,DMSC,"Pharmaceuticals, Biotechnology & Life Sciences",0.002,0.460217097,-2.2
SWITZERLAND,DMSC,Capital Goods,0.002,0.853013475,6.554
INDIA,EMSC,Materials,0.002,-0.394125444,-2.65
INDIA,EMSC,Retailing,0.002,1.129708638,-50.9
THAILAND,EMSC,Diversified Financials,0.002,-0.044584681,-1.75
HONG KONG,DMSC,Diversified Financials,0.002,-0.647187486,0.015
TAIWAN,EMSC,Retailing,0.002,0.486200941,-6.4752
MALAYSIA,EMSC,Capital Goods,0.002,-0.363156759,0.32
INDIA,EMSC,Materials,0.002,-0.013703451,-48.45
USA,DMSC,Health Care Equipment & Services,0.00196,-0.127988648,1.04
CHINA,EMSC,Automobiles & Components,0.00196,-0.10470255,0.36
USA,DMSC,Capital Goods,0.001939,0.05580971,0.25
USA,DMSC,Insurance,0.001922,0.462097809,-3.5
JAPAN,DMSC,Utilities,0.001906,0.405775181,162
USA,DMSC,Banks,0.001878,-0.037721757,0.46
USA,DMSC,Semiconductors & Semiconductor Equipment,0.001877,-0.142143307,-0.95
USA,DMSC,Software & Services,0.001875,-0.128206837,1.44
USA,DM,Software & Services,0.001875,0.058232716,-2.57
USA,DMSC,"Pharmaceuticals, Biotechnology & Life Sciences",0.001875,-0.263064409,1.61
CANADA,DMSC,Retailing,0.001875,-0.301107806,0.12
ITALY,DM,Automobiles & Components,0.001854,-0.230332131,0.675
CANADA,DM,Real Estate,0.001839,-0.20829951,-0.2
JAPAN,DMSC,Automobiles & Components,0.001828,0.134964449,105
UNITED KINGDOM,DMSC,Banks,0.001826,0.161127463,1.1
ITALY,DMSC,Consumer Durables & Apparel,0.00182,-0.297584356,0.45
TAIWAN,EMSC,Technology Hardware & Equipment,0.001818,-0.431904129,2.8
SOUTH AFRICA,EMSC,Capital Goods,0.001818,-0.309401901,126
KOREA,EMSC,Semiconductors & Semiconductor Equipment,0.001818,0.110736322,-100
USA,DMSC,Capital Goods,0.001818,-0.028836153,-0.17
MEXICO,EMSC,Diversified Financials,0.001818,-0.262489351,1.02
CHINA,EMSC,Capital Goods,0.001818,-0.374455981,0.005
TAIWAN,EMSC,"Pharmaceuticals, Biotechnology & Life Sciences",0.001818,-0.208395139,-0.3
USA,DMSC,Capital Goods,0.001799,-0.365886289,0.77
USA,DMSC,Technology Hardware & Equipment,0.001796,-0.237635009,0.31
USA,DMSC,Retailing,0.001783,0.159253681,-2.27
CANADA,DMSC,Materials,0.001776,-0.277085769,0.56
AUSTRALIA,DM,Consumer Services,0.001774,0.021354429,-0.09
USA,DMSC,Consumer Durables & Apparel,0.001771,-0.028873742,-2.35
NETHERLANDS,DM,Semiconductors & Semiconductor Equipment,0.001765,0.323364011,-3.03
USA,DMSC,Commercial & Professional Services,0.001746,-0.094119776,0.73
USA,DMSC,Transportation,0.001746,0.328848821,-1.26
USA,DMSC,Software & Services,0.001736,0.390104271,1.06
TAIWAN,EMSC,Semiconductors & Semiconductor Equipment,0.001734,0.234929971,-21.5
USA,DMSC,Software & Services,0.001716,0.715689449,-8.76
USA,DMSC,Banks,0.001711,-0.147810586,1.95
CHINA,EMSC,Retailing,0.001707,-0.099718285,0.05
NORWAY,DMSC,Banks,0.001704,-0.195319147,-1.25
THAILAND,EMSC,Media,0.0017,0.668856807,-9.5
JAPAN,DMSC,Commercial & Professional Services,0.001681,-0.00307397,80
USA,DMSC,Capital Goods,0.00168,0.002658204,-0.45
USA,DMSC,Real Estate,0.001678,-0.140053345,-0.68
USA,DMSC,Food Beverage & Tobacco,0.001677,-0.286017454,5
CHINA,EMSC,Software & Services,0.001675,0.676303552,-0.16
USA,DMSC,Energy,0.001668,-0.227424503,1.2
USA,DMSC,"Pharmaceuticals, Biotechnology & Life Sciences",0.001667,-0.623348806,4.49
HONG KONG,DMSC,Diversified Financials,0.001667,0.157751577,-0.05
TURKEY,EMSC,Banks,0.001667,0.610876634,-0.02
INDIA,EMSC,Household & Personal Products,0.001667,-0.059778121,13.2
THAILAND,EMSC,Transportation,0.001667,0.110369505,1.4
THAILAND,EMSC,Retailing,0.001667,0.761777393,-2.8
TAIWAN,EMSC,Semiconductors & Semiconductor Equipment,0.001667,0.486828105,-4.5
CHINA,EMSC,Health Care Equipment & Services,0.001667,0.030620954,-0.08
FRANCE,DMSC,Commercial & Professional Services,0.001667,-0.001927485,0.74
USA,DMSC,"Pharmaceuticals, Biotechnology & Life Sciences",0.001667,0.05355599,5.83
KOREA,EM,Transportation,0.001667,0.130121615,-16000
AUSTRIA,DM,Materials,0.001667,0.877974486,18.35
KOREA,EMSC,Materials,0.001667,-0.220694391,-1100
USA,DMSC,Health Care Equipment & Services,0.001667,-0.53315993,0.75
TAIWAN,EM,Energy,0.001667,0.378304161,-1.5
INDIA,EMSC,Diversified Financials,0.001667,0.409728709,149.9
FINLAND,DMSC,Capital Goods,0.001667,-0.019225219,-0.25
TAIWAN,EMSC,Automobiles & Components,0.001667,0.473133298,3
FRANCE,DM,Capital Goods,0.001667,0.291249905,-2.65
THAILAND,EMSC,Materials,0.001667,-0.385329447,0.3
THAILAND,EMSC,Retailing,0.001667,0.38484172,-0.9
INDONESIA,EMSC,Food Beverage & Tobacco,0.001667,-0.701743229,-2
SINGAPORE,DMSC,Real Estate,0.001667,-0.126244681,-0.07
CHINA,EMSC,Consumer Durables & Apparel,0.001667,0.051662356,-0.32
FRANCE,DMSC,Capital Goods,0.001667,0.210994531,-3.58
ITALY,DMSC,Transportation,0.001667,0.624758193,-0.3
INDIA,EMSC,Telecommunication Services,0.001667,-0.439333223,1.95
CHINA,EMSC,Software & Services,0.001667,-0.32920595,-0.015
POLAND,EM,Media,0.001667,0.226187933,-0.47
EGYPT,EMSC,Materials,0.001667,-0.35509443,1.19
HONG KONG,DMSC,Insurance,0.001667,1.243925368,0.046
USA,DMSC,Software & Services,0.001654,0.98473636,-0.41
CHINA,EMSC,Commercial & Professional Services,0.001643,0.729412328,-0.03
CHINA,EMSC,Capital Goods,0.001641,0.29275137,-0.005
USA,DMSC,Diversified Financials,0.001639,-0.260282977,0
USA,DMSC,Software & Services,0.001633,-0.103247883,-1.35
USA,DMSC,Consumer Services,0.001599,0.821816787,-0.47
NETHERLANDS,DMSC,Materials,0.001564,-0.092936572,-0.89
ISRAEL,DMSC,Software & Services,0.001553,0.17277958,4.6
USA,DMSC,Materials,0.001553,0.097247631,-0.5
SINGAPORE,DMSC,Real Estate,0.00154,-0.099149227,-0.075
CHINA,EMSC,Real Estate,0.001538,-0.580543275,0.065
USA,DMSC,Software & Services,0.001538,-0.147213379,-0.36
JAPAN,DMSC,Banks,0.001538,-0.104885933,43
TAIWAN,EMSC,Materials,0.001538,-0.237025463,-1.2
JAPAN,DMSC,Semiconductors & Semiconductor Equipment,0.001538,-0.032442659,72
USA,DM,Telecommunication Services,0.001516,-0.176630743,-0.34
USA,DMSC,Consumer Services,0.001486,-0.109520766,-0.41
USA,DMSC,Software & Services,0.001471,-0.005214705,-0.6
BRAZIL,EM,Food Beverage & Tobacco,0.001462,1.543734242,2.9
UNITED KINGDOM,DMSC,Software & Services,0.001448,0.472810384,-86
INDIA,EM,Telecommunication Services,0.001442,-0.636919599,6.05
JAPAN,DMSC,"Pharmaceuticals, Biotechnology & Life Sciences",0.001439,-0.110502645,-20
DENMARK,DMSC,Capital Goods,0.001429,0.331807593,5
TAIWAN,EMSC,Automobiles & Components,0.001429,-0.056876653,7.5
TAIWAN,EMSC,Retailing,0.001429,-0.12905017,-0.2
CHINA,EMSC,Software & Services,0.001429,1.084232981,0.75
TAIWAN,EMSC,Transportation,0.001429,0.026863551,2
FRANCE,DMSC,Energy,0.001429,-0.155325145,0.17
JAPAN,DMSC,Food & Staples Retailing,0.001429,0.237579802,165
TURKEY,EMSC,Utilities,0.001429,0.765837405,-0.12
KOREA,EMSC,Retailing,0.001429,0.337443398,-70
ITALY,DMSC,Utilities,0.001429,0.208758963,-0.2
JAPAN,DMSC,Software & Services,0.001429,0.086373042,40
NORWAY,DMSC,Technology Hardware & Equipment,0.001429,-0.453563274,-0.29
BRAZIL,EMSC,Insurance,0.001429,0.341546086,-1.03
KOREA,EMSC,Automobiles & Components,0.001429,0.434960548,-400
HONG KONG,DMSC,"Pharmaceuticals, Biotechnology & Life Sciences",0.001429,-0.207659896,-0.49
JAPAN,DMSC,Retailing,0.001429,-0.381999483,150
JAPAN,DMSC,Food & Staples Retailing,0.001429,1.163876147,92
USA,DMSC,Software & Services,0.001429,-0.264244169,-0.18
USA,DMSC,"Pharmaceuticals, Biotechnology & Life Sciences",0.001429,-0.056365015,0.59
CHINA,EMSC,Energy,0.001429,-0.415560944,-0.02
INDIA,EMSC,Telecommunication Services,0.001429,1.479910115,12.1
USA,DMSC,Materials,0.001429,-0.10511216,0.93
MALAYSIA,EM,Banks,0.001429,0.332402162,-0.46
INDIA,EMSC,Software & Services,0.001429,-0.188450361,-36.6
JAPAN,DMSC,Food Beverage & Tobacco,0.001429,1.076954299,-205
THAILAND,EMSC,Banks,0.001429,-0.017568592,-2
SOUTH AFRICA,EMSC,"Pharmaceuticals, Biotechnology & Life Sciences",0.001429,-0.08619522,-200
MALAYSIA,EM,Food Beverage & Tobacco,0.001429,0.551200319,0.17
ITALY,DMSC,Capital Goods,0.001429,0.662163965,-0.11
AUSTRALIA,DM,Media,0.001429,-0.180304036,0.02
JAPAN,DMSC,Commercial & Professional Services,0.001429,-0.230459129,25
USA,DMSC,Software & Services,0.001429,-0.12560665,0.76
THAILAND,EMSC,Energy,0.001429,3.356873402,-0.1
THAILAND,EMSC,"Pharmaceuticals, Biotechnology & Life Sciences",0.001429,0.347872135,-0.75
HONG KONG,DMSC,Diversified Financials,0.001429,-0.133055964,-0.17
USA,DMSC,Software & Services,0.001429,-0.117880592,0.15
SOUTH AFRICA,EMSC,Capital Goods,0.001429,-0.207612111,707
USA,DMSC,"Pharmaceuticals, Biotechnology & Life Sciences",0.001429,-0.419512697,2.1
INDONESIA,EM,Media,0.001429,-0.04919695,25
KOREA,EMSC,Semiconductors & Semiconductor Equipment,0.001429,0.41411598,1600
KOREA,EMSC,Media,0.001429,0.168455451,700
AUSTRALIA,DM,Materials,0.001429,-0.203019492,-0.69
KOREA,EM,Retailing,0.001429,-0.009746817,-11500
CHILE,EMSC,Transportation,0.001429,-0.550651136,-0.22
INDIA,EMSC,Capital Goods,0.001429,0.303120236,37.5
TAIWAN,EMSC,"Pharmaceuticals, Biotechnology & Life Sciences",0.001429,0.037453766,-1.5
TAIWAN,EMSC,Consumer Durables & Apparel,0.001429,-0.597735232,-6.8
USA,DMSC,Software & Services,0.001425,-0.302466635,1.2
USA,DMSC,Software & Services,0.001418,0.573499606,0
SOUTH AFRICA,EM,Energy,0.001405,-0.189274939,151
ISRAEL,DM,Software & Services,0.001379,-0.286572097,-0.24
JAPAN,DMSC,Materials,0.001372,-0.087074847,0
SWEDEN,DMSC,Diversified Financials,0.001367,-0.394163035,-4
USA,DMSC,Health Care Equipment & Services,0.001355,0.075944209,-0.12
ISRAEL,DMSC,Health Care Equipment & Services,0.001352,0.652723269,-111
CANADA,DMSC,Consumer Services,0.001351,-0.290032604,0.12
DENMARK,DMSC,"Pharmaceuticals, Biotechnology & Life Sciences",0.001339,-0.17985536,0.5
USA,DMSC,Insurance,0.001338,-0.251268626,-0.45
SOUTH AFRICA,EMSC,Automobiles & Components,0.001333,-0.141830727,100
DENMARK,DMSC,Capital Goods,0.001333,-0.367538735,9
USA,DMSC,Diversified Financials,0.001333,-0.50715842,0
AUSTRALIA,DM,Capital Goods,0.001333,-0.414262402,-0.005
BELGIUM,DMSC,Materials,0.001333,-0.228732288,-0.608
AUSTRALIA,DM,Retailing,0.001333,0.296975239,0.75
USA,DMSC,Consumer Durables & Apparel,0.001333,-0.247175529,-0.65
KOREA,EMSC,Consumer Services,0.001333,0.025983192,-4700
